,const,linear_drift,music_boxcar,music_hrf
556.5,1.0,0.8141809290953546,1.0,1.0000000000000002
558.0,1.0,0.8190709046454767,1.0,1.0000000000000002
559.5,1.0,0.8239608801955991,1.0,1.0000000000000002
561.0,1.0,0.8288508557457213,1.0,1.0000000000000002
562.5,1.0,0.8337408312958434,1.0,1.0000000000000002
564.0,1.0,0.8386308068459658,1.0,1.0000000000000002
565.5,1.0,0.843520782396088,1.0,1.0000000000000002
567.0,1.0,0.8484107579462103,1.0,1.0000000000000002
568.5,1.0,0.8533007334963325,1.0,1.0000000000000002
570.0,1.0,0.8581907090464547,1.0,1.0000000000000002
571.5,1.0,0.863080684596577,1.0,1.0000000000000002
573.0,1.0,0.8679706601466992,1.0,1.0000000000000002
574.5,1.0,0.8728606356968216,1.0,1.0000000000000002
576.0,1.0,0.8777506112469438,1.0,1.0000000000000002
577.5,1.0,0.8826405867970659,1.0,1.0000000000000002
579.0,1.0,0.8875305623471883,1.0,1.0000000000000002
580.5,1.0,0.8924205378973105,1.0,1.0000000000000002
582.0,1.0,0.8973105134474328,1.0,1.0000000000000002
583.5,1.0,0.902200488997555,1.0,1.0000000000000002
585.0,1.0,0.9070904645476772,1.0,1.0000000000000002
586.5,1.0,0.9119804400977995,1.0,1.0000000000000002
588.0,1.0,0.9168704156479217,1.0,1.0000000000000002
589.5,1.0,0.9217603911980441,1.0,1.0000000000000002
591.0,1.0,0.9266503667481663,1.0,1.0000000000000002
592.5,1.0,0.9315403422982884,1.0,1.0000000000000002
594.0,1.0,0.9364303178484108,1.0,1.0000000000000002
595.5,1.0,0.941320293398533,1.0,1.0000000000000002
597.0,1.0,0.9462102689486553,1.0,1.0000000000000002
598.5,1.0,0.9511002444987775,1.0,1.0000000000000002
600.0,1.0,0.9559902200488997,1.0,1.0000000000000002
601.5,1.0,0.960880195599022,1.0,1.0000000000000002
603.0,1.0,0.9657701711491442,1.0,1.0000000000000002
604.5,1.0,0.9706601466992666,1.0,1.0000000000000002
606.0,1.0,0.9755501222493888,1.0,1.0000000000000002
607.5,1.0,0.9804400977995109,1.0,1.0000000000000002
609.0,1.0,0.9853300733496333,1.0,1.0000000000000002
610.5,1.0,0.9902200488997555,1.0,1.0000000000000002
612.0,1.0,0.9951100244498778,1.0,1.0000000000000002
613.5,1.0,1.0,1.0,1.0000000000000002
