,const,linear_drift,scene_boxcar,scene_hrf
312.0,1.0,-0.7175192394748755,1.0,1.0
313.0,1.0,-0.7166138524219103,1.0,1.0
314.0,1.0,-0.7157084653689452,1.0,1.0
315.0,1.0,-0.7148030783159801,1.0,1.0
316.0,1.0,-0.7138976912630149,1.0,1.0
317.0,1.0,-0.7129923042100498,1.0,1.0
318.0,1.0,-0.7120869171570847,1.0,1.0
319.0,1.0,-0.7111815301041196,1.0,1.0
320.0,1.0,-0.7102761430511544,1.0,1.0
321.0,1.0,-0.7093707559981892,1.0,1.0
322.0,1.0,-0.708465368945224,1.0,1.0
323.0,1.0,-0.7075599818922589,1.0,1.0
324.0,1.0,-0.7066545948392938,1.0,1.0
325.0,1.0,-0.7057492077863287,1.0,1.0
326.0,1.0,-0.7048438207333635,1.0,1.0
327.0,1.0,-0.7039384336803984,1.0,1.0
328.0,1.0,-0.7030330466274333,1.0,1.0
329.0,1.0,-0.7021276595744681,1.0,1.0
330.0,1.0,-0.7012222725215029,1.0,1.0
331.0,1.0,-0.7003168854685378,1.0,1.0
332.0,1.0,-0.6994114984155726,1.0,1.0
333.0,1.0,-0.6985061113626075,1.0,1.0
334.0,1.0,-0.6976007243096424,1.0,1.0
335.0,1.0,-0.6966953372566772,1.0,1.0
336.0,1.0,-0.6957899502037121,1.0,1.0
337.0,1.0,-0.694884563150747,1.0,1.0
338.0,1.0,-0.6939791760977818,1.0,1.0
339.0,1.0,-0.6930737890448166,1.0,1.0
340.0,1.0,-0.6921684019918515,1.0,1.0
341.0,1.0,-0.6912630149388863,1.0,1.0
342.0,1.0,-0.6903576278859213,1.0,1.0
343.0,1.0,-0.6894522408329561,1.0,1.0
344.0,1.0,-0.688546853779991,1.0,1.0
345.0,1.0,-0.6876414667270259,1.0,1.0
346.0,1.0,-0.6867360796740607,1.0,1.0
347.0,1.0,-0.6858306926210955,1.0,1.0
348.0,1.0,-0.6849253055681304,1.0,1.0
349.0,1.0,-0.6840199185151652,1.0,1.0
350.0,1.0,-0.6831145314622,1.0,1.0
351.0,1.0,-0.682209144409235,1.0,1.0
352.0,1.0,-0.6813037573562698,1.0,1.0
353.0,1.0,-0.6803983703033047,1.0,1.0
354.0,1.0,-0.6794929832503396,1.0,1.0
355.0,1.0,-0.6785875961973744,1.0,1.0
356.0,1.0,-0.6776822091444092,1.0,1.0
357.0,1.0,-0.6767768220914441,1.0,1.0
358.0,1.0,-0.6758714350384789,1.0,1.0
359.0,1.0,-0.6749660479855137,1.0,1.0
360.0,1.0,-0.6740606609325487,1.0,1.0
361.0,1.0,-0.6731552738795835,1.0,1.0
362.0,1.0,-0.6722498868266185,1.0,1.0
363.0,1.0,-0.6713444997736533,1.0,1.0
364.0,1.0,-0.6704391127206881,1.0,1.0
365.0,1.0,-0.669533725667723,1.0,1.0
366.0,1.0,-0.6686283386147578,1.0,1.0
367.0,1.0,-0.6677229515617926,1.0,1.0
